/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 3889 at position 289 (collision #179)
🌟 COLLISION! Prime 3907 at position 307 (collision #180)
🌟 COLLISION! Prime 3911 at position 311 (collision #181)
🌟 COLLISION! Prime 3917 at position 317 (collision #182)
🌟 COLLISION! Prime 3919 at position 319 (collision #183)
🌟 COLLISION! Prime 3923 at position 323 (collision #184)
🌟 COLLISION! Prime 3929 at position 329 (collision #185)
🌟 COLLISION! Prime 3931 at position 331 (collision #186)
🌟 COLLISION! Prime 3943 at position 343 (collision #187)
🌟 COLLISION! Prime 3947 at position 347 (collision #188)
🌟 COLLISION! Prime 3967 at position 7 (collision #189)
🌟 COLLISION! Prime 3989 at position 29 (collision #190)
🌟 COLLISION! Prime 4001 at position 41 (collision #191)
🌟 COLLISION! Prime 4003 at position 43 (collision #192)
🌟 COLLISION! Prime 4007 at position 47 (collision #193)
🌟 COLLISION! Prime 4013 at position 53 (collision #194)
🌟 COLLISION! Prime 4019 at position 59 (collision #195)
🌟 COLLISION! Prime 4021 at position 61 (collision #196)
🌟 COLLISION! Prime 4027 at position 67 (collision #197)
🌟 COLLISION! Prime 4049 at position 89 (collision #198)
🌟 COLLISION! Prime 4051 at position 91 (collision #199)
🌟 COLLISION! Prime 4057 at position 97 (collision #200)
🌟 COLLISION! Prime 4073 at position 113 (collision #201)
🌟 COLLISION! Prime 4079 at position 119 (collision #202)
🌟 COLLISION! Prime 4091 at position 131 (collision #203)
🌟 COLLISION! Prime 4093 at position 133 (collision #204)
🌟 COLLISION! Prime 4099 at position 139 (collision #205)
🌟 COLLISION! Prime 4111 at position 151 (collision #206)
🌟 COLLISION! Prime 4127 at position 167 (collision #207)
🌟 COLLISION! Prime 4129 at position 169 (collision #208)
🌟 COLLISION! Prime 4133 at position 173 (collision #209)
🌟 COLLISION! Prime 4139 at position 179 (collision #210)
🌟 COLLISION! Prime 4153 at position 193 (collision #211)
🌟 COLLISION! Prime 4157 at position 197 (collision #212)
🌟 COLLISION! Prime 4159 at position 199 (collision #213)
🌟 COLLISION! Prime 4177 at position 217 (collision #214)
🌟 COLLISION! Prime 4201 at position 241 (collision #215)
🌟 COLLISION! Prime 4211 at position 251 (collision #216)
🌟 COLLISION! Prime 4217 at position 257 (collision #217)
🌟 COLLISION! Prime 4219 at position 259 (collision #218)
🌟 COLLISION! Prime 4229 at position 269 (collision #219)
🌟 COLLISION! Prime 4231 at position 271 (collision #220)
🌟 COLLISION! Prime 4241 at position 281 (collision #221)
🌟 COLLISION! Prime 4243 at position 283 (collision #222)
🌟 COLLISION! Prime 4253 at position 293 (collision #223)
🌟 COLLISION! Prime 4259 at position 299 (collision #224)
🌟 COLLISION! Prime 4261 at position 301 (collision #225)
🌟 COLLISION! Prime 4271 at position 311 (collision #226)
🌟 COLLISION! Prime 4273 at position 313 (collision #227)
🌟 COLLISION! Prime 4283 at position 323 (collision #228)
🌟 COLLISION! Prime 4289 at position 329 (collision #229)
🌟 COLLISION! Prime 4297 at position 337 (collision #230)
🌟 COLLISION! Prime 4327 at position 7 (collision #231)
🌟 COLLISION! Prime 4337 at position 17 (collision #232)
🌟 COLLISION! Prime 4339 at position 19 (collision #233)
🌟 COLLISION! Prime 4349 at position 29 (collision #234)
🌟 COLLISION! Prime 4357 at position 37 (collision #235)
🌟 COLLISION! Prime 4363 at position 43 (collision #236)
🌟 COLLISION! Prime 4373 at position 53 (collision #237)
🌟 COLLISION! Prime 4391 at position 71 (collision #238)
🌟 COLLISION! Prime 4397 at position 77 (collision #239)
🌟 COLLISION! Prime 4409 at position 89 (collision #240)
🌟 COLLISION! Prime 4421 at position 101 (collision #241)
🌟 COLLISION! Prime 4423 at position 103 (collision #242)
🌟 COLLISION! Prime 4441 at position 121 (collision #243)
🌟 COLLISION! Prime 4447 at position 127 (collision #244)
🌟 COLLISION! Prime 4451 at position 131 (collision #245)
🌟 COLLISION! Prime 4457 at position 137 (collision #246)
🌟 COLLISION! Prime 4463 at position 143 (collision #247)
🌟 COLLISION! Prime 4481 at position 161 (collision #248)
🌟 COLLISION! Prime 4483 at position 163 (collision #249)
🌟 COLLISION! Prime 4493 at position 173 (collision #250)
🌟 COLLISION! Prime 4507 at position 187 (collision #251)
